ID;conc1_s1;conceito1;conc2_s1;conceito2;conc3_s1;conceito3;conc4_s1;conceito4;conc5_s1;conceito5;conc6_s1;conceito6;l1;l2;l3;l4;l5;l6;l7;l8;l9;l10;l11;l12;l13;l14;l15;l16;l17;nivel_conh_EC;regiao_geografica;estado_resid;genero_1M;grad_area;espec_area;se_mestre_contabeis_1s;mestrado_area;se_doutor_cont_1s;doutor_area;Mest_antes2007_1s;mestr_tempo_concl;Dout_antes2007_1s;doutor_tempo_concl;docenciaantes2007_1s;docencia_tempo;cod_cursoatual_ies;ies_leciona_atual;Organ_acad_atual;cat_adm_atual;area_societaria;area_custos;area_gerencial;area_publica;area_teoria;area_etica;area_auditoria;area_pericia;area_tributaria;area_outra;mercado_atual;tempo_mercado;for_pedag;forped_Mapos2015;formped_Dapos2015;forped_curtapos2015;forped_longapos2015;certificac_atual;certif_crcatual;certif_outratual;regime_atual;public_atual;perc_aprovCFC;prec_reprovCFC;cod_curso2012ies;ies_leciona2012;Organ_acad2012;cat_adm2012;UF_ies2012;area12_eradocente;area12_societaria;area12_custos;area12_gerencial;area12_publica;area12_teoria;area12_etica;area12_auditoria;area12_pericia;area12_tributaria;area12_outra;mercado_2012;for_pedag;forped_Mate2015;formped_Dantes2015;forped_curtate2015;forped_longate2015;certificac_2012;certif_crc2012;certif_outra2012;regime_2012;public_2012;nota_brutaIDD;nota_brutaODP;nota_brutaIIE;nota_brutaOAF;nota_brutaMest;nota_bruta_Dout;nota_bruta_regime;nota_bruta_FG;nota_bruta_CE;Notaenade_societaria;Notaenade_custos;Notaenade_gerencial;Notaenade_publica;Notaenade_teoria;Notaenade_etica;Notaenade_auditoria;Notaenade_pericia;nota_bruta_geral;enade_cont;cpc_continuo;num_docentesenade;cpc_faixa;enade_faixa;inscritosCFC;presentesCFC;aprovadosCFC;reprovaosCFC;ausentesCFC
674;1;10;1;10;1;10;1;10;1;10;1;10;10;10;10;10;10;10;10;10;10;10;10;0;10;10;0;10;10;8;5;7;1;1;1;1;1;1;1;1;11;0;6;1;13;149;UNIVERSIDADE DE BRASÍLIA;1;1;1;0;0;0;1;0;0;0;0;0;1;8;1;0;1;0;0;1;1;0;1;3;86,96969697;13,03030303;149;UNIVERSIDADE DE BRASÍLIA;1;1;7;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;1;1;0;1;4;0,649011374;4,61678648;4,40301609;3,826949596;0,991666667;0,7;1;61,65;52,0530303;3,481060606;7,147727273;9,337121212;6,954545455;9,928030303;4,25;5,659090909;5,28030303;54,46212121;4,281070709;3,530674356;120;4;5;375;330;287;43;45
367;0;0;1;10;1;10;1;10;1;5;1;5;5;10;10;10;10;0;0;10;10;10;10;0;10;10;10;10;10;7;5;7;1;1;1;1;1;0;4;0;7;0;2;0;10;149;UNIVERSIDADE DE BRASÍLIA;1;1;0;0;0;1;0;0;0;0;0;0;1;20;1;0;1;1;0;1;1;0;1;0;86,96969697;13,03030303;149;UNIVERSIDADE DE BRASÍLIA;1;1;7;1;0;0;0;1;0;0;0;0;0;0;4;1;1;0;1;1;1;1;0;1;3;0,649011374;4,61678648;4,40301609;3,826949596;0,991666667;0,7;1;61,65;52,0530303;3,481060606;7,147727273;9,337121212;6,954545455;9,928030303;4,25;5,659090909;5,28030303;54,46212121;4,281070709;3,530674356;120;4;5;375;330;287;43;45
297;0;0;1;10;1;9;1;6;0;0;1;5;5;10;10;8;8;10;7;10;7;10;10;10;10;8;5;8;10;7;5;7;1;1;1;1;1;1;1;1;18;0;4;1;20;149;UNIVERSIDADE DE BRASÍLIA;1;1;1;0;0;0;0;0;1;0;0;0;2;30;0;0;0;0;0;1;1;0;1;4;86,96969697;13,03030303;149;UNIVERSIDADE DE BRASÍLIA;1;1;7;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;3;0,649011374;4,61678648;4,40301609;3,826949596;0,991666667;0,7;1;61,65;52,0530303;3,481060606;7,147727273;9,337121212;6,954545455;9,928030303;4,25;5,659090909;5,28030303;54,46212121;4,281070709;3,530674356;120;4;5;375;330;287;43;45
230;0;4;1;10;1;9;1;7;1;8;1;7;9;10;8;9;8;9;10;8;10;9;10;9;10;10;10;10;9;9;5;7;1;1;1;1;1;1;1;1;16;;0;1;25;149;UNIVERSIDADE DE BRASÍLIA;1;1;1;1;0;0;0;1;0;0;0;0;1;5;1;0;0;0;0;1;1;0;1;0;86,96969697;13,03030303;149;UNIVERSIDADE DE BRASÍLIA;1;1;7;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;1;1;0,649011374;4,61678648;4,40301609;3,826949596;0,991666667;0,7;1;61,65;52,0530303;3,481060606;7,147727273;9,337121212;6,954545455;9,928030303;4,25;5,659090909;5,28030303;54,46212121;4,281070709;3,530674356;120;4;5;375;330;287;43;45
607;0;1;1;9;1;8;0;4;1;8;1;5;7;;7;6;5;3;10;8;10;10;10;10;8;2;7;10;9;7;5;7;0;1;5;1;1;0;5;0;6;;;0;4;149;UNIVERSIDADE DE BRASÍLIA;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;2;86,96969697;13,03030303;1152440;CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN;2;3;7;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;1;0;2,42172575;5,776937485;5,807971001;5,596273422;0,772727273;0,363636364;0,954545455;50,4173913;44,07391304;4,043478261;5,72826087;7,945652174;6,467391304;8,173913043;3,695652174;3,206521739;4,804347826;45,67826087;2,91685009;0;22;Curso não reconhecido até 31/12/2015;3;375;330;287;43;45
571;1;7;1;8;1;7;1;7;1;8;1;9;8;5;8;8;8;5;8;6;8;8;7;5;8;5;7;7;7;8;5;7;1;1;5;1;1;0;5;0;5;;;0;4;149;UNIVERSIDADE DE BRASÍLIA;1;1;1;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;1;1;86,96969697;13,03030303;;;;;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;375;330;287;43;45
849;1;5;1;10;1;10;1;10;1;10;1;9;10;10;10;10;0;10;10;0;10;10;10;5;10;10;0;5;10;7;3;4;1;1;1;1;1;0;5;0;7;;;0;10;388;UNIVERSIDADE FEDERAL DO AMAZONAS;1;1;0;1;1;0;0;0;0;1;1;0;5;30;1;0;0;0;0;1;1;0;3;0;55,02183406;44,97816594;388;UNIVERSIDADE FEDERAL DO AMAZONAS;1;1;4;1;0;1;1;0;0;0;1;0;1;0;5;1;1;0;0;0;1;1;0;3;0;0,199417993;4,493228436;3,702815294;3,377998114;0,692307692;0,179487179;1;58,19622642;47,56226415;2,504716981;6,33490566;10,10377358;6,976415094;8,122641509;4,169811321;3,811320755;5,533018868;50,23207547;3,637684345;2,649437722;39;3;4;253;229;126;103;24
638;1;8;1;10;1;9;1;10;1;10;1;10;9;10;9;10;10;10;8;9;9;9;10;8;10;10;9;9;10;9;3;4;1;1;4;1;1;0;5;0;8;;;0;10;388;UNIVERSIDADE FEDERAL DO AMAZONAS;1;1;0;0;0;0;1;0;0;1;1;0;1;20;1;0;0;0;0;1;1;0;1;2;55,02183406;44,97816594;388;UNIVERSIDADE FEDERAL DO AMAZONAS;1;1;4;1;0;0;0;0;1;0;0;1;0;0;7;1;1;0;0;0;1;1;0;1;2;0,199417993;4,493228436;3,702815294;3,377998114;0,692307692;0,179487179;1;58,19622642;47,56226415;2,504716981;6,33490566;10,10377358;6,976415094;8,122641509;4,169811321;3,811320755;5,533018868;50,23207547;3,637684345;2,649437722;39;3;4;253;229;126;103;24
585;1;9;1;10;1;7;1;5;1;7;1;10;8;9;10;3;8;7;10;7;1;10;9;10;10;10;7;6;10;7;4;18;0;1;1;1;1;0;5;0;7;;;0;10;490;UNIVERSIDADE FEDERAL DO PIAUÍ;1;1;0;1;1;0;0;0;0;0;0;1;1;5;1;0;0;0;0;1;1;0;1;0;74,82993197;25,17006803;490;UNIVERSIDADE FEDERAL DO PIAUÍ;1;1;18;1;1;1;0;0;0;0;0;0;0;0;3;1;1;0;1;0;1;1;0;2;0;0,66970855;4,528361797;4,440808296;3,862592697;0,691176471;0,205882353;1;66,51944444;51,77222222;4,094594595;5,972972973;8,385135135;7,236486486;9,695945946;4,824324324;4,182432432;5,972972973;55,475;4,428731918;2,986734325;68;4;5;165;147;110;37;18
439;0;2;1;9;1;10;0;4;1;8;1;7;6;8;7;7;2;5;8;5;7;9;8;5;8;8;1;7;8;9,5;4;18;0;1;1;1;1;0;4;1;17;0;2;1;26;501;UNIVERSIDADE FEDERAL DO PIAUÍ;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;42,9787234;57,0212766;501;UNIVERSIDADE FEDERAL DO PIAUÍ;1;1;18;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;-0,01981014;4,577717781;4,684122086;3,972848892;0,40625;0,03125;1;54,41785714;36,5375;1,653508772;4,548245614;6,859649123;6,337719298;6,223684211;3,728070175;2,285087719;4,25;41,01964286;2,262090206;2,207151092;32;3;3;258;235;101;134;23
